	genbank_id	description	taxonomy_name
62	FJ932055.1	Hepatitis C virus isolate 7G74R787S4 polyprotein gene, partial cds.	Hepacivirus C
63	FJ932056.1	Hepatitis C virus isolate 7G74R487S4 polyprotein gene, partial cds.	Hepacivirus C
64	FJ932057.1	Hepatitis C virus isolate 7G74R987S4 polyprotein gene, partial cds.	Hepacivirus C
65	FJ932058.1	Hepatitis C virus isolate 7G74R087S4 polyprotein gene, partial cds.	Hepacivirus C
66	FJ932059.1	Hepatitis C virus isolate 7G74R497S4 polyprotein gene, partial cds.	Hepacivirus C
67	FJ932060.1	Hepatitis C virus isolate 7G74R897S4 polyprotein gene, partial cds.	Hepacivirus C
68	FJ932061.1	Hepatitis C virus isolate 7G74R997S4 polyprotein gene, partial cds.	Hepacivirus C
69	FJ932062.1	Hepatitis C virus isolate 79407903D7 polyprotein gene, partial cds.	Hepacivirus C
70	FJ932063.1	Hepatitis C virus isolate 77857214D7 polyprotein gene, partial cds.	Hepacivirus C
71	FJ932064.1	Hepatitis C virus isolate 74917974D8 polyprotein gene, partial cds.	Hepacivirus C
72	FJ932065.1	Hepatitis C virus isolate 78607193D6 polyprotein gene, partial cds.	Hepacivirus C
73	FJ932066.1	Hepatitis C virus isolate 77857955D0 polyprotein gene, partial cds.	Hepacivirus C
74	FJ932067.1	Hepatitis C virus isolate 77317575D4 polyprotein gene, partial cds.	Hepacivirus C
75	FJ932068.1	Hepatitis C virus isolate 79537063D4 polyprotein gene, partial cds.	Hepacivirus C
76	FJ932069.1	Hepatitis C virus isolate 78867725D4 polyprotein gene, partial cds.	Hepacivirus C
77	FJ932070.1	Hepatitis C virus isolate 79087824D4 polyprotein gene, partial cds.	Hepacivirus C
78	FJ932071.1	Hepatitis C virus isolate 78267745D7 polyprotein gene, partial cds.	Hepacivirus C
79	FJ932072.1	Hepatitis C virus isolate 77947814D7 polyprotein gene, partial cds.	Hepacivirus C
80	FJ932073.1	Hepatitis C virus isolate 79277304D3 polyprotein gene, partial cds.	Hepacivirus C
81	FJ932074.1	Hepatitis C virus isolate 78967905D2 polyprotein gene, partial cds.	Hepacivirus C
82	FJ932075.1	Hepatitis C virus isolate 79907714D6 polyprotein gene, partial cds.	Hepacivirus C
83	FJ932076.1	Hepatitis C virus isolate 79697834D7 polyprotein gene, partial cds.	Hepacivirus C
84	FJ932077.1	Hepatitis C virus isolate 3870Y675 polyprotein gene, partial cds.	Hepacivirus C
85	FJ932078.1	Hepatitis C virus isolate 79097064D4 polyprotein gene, partial cds.	Hepacivirus C
86	FJ932079.1	Hepatitis C virus isolate 79877074D8 polyprotein gene, partial cds.	Hepacivirus C
87	FJ932080.1	Hepatitis C virus isolate 78357903K6 polyprotein gene, partial cds.	Hepacivirus C
88	FJ932081.1	Hepatitis C virus isolate 78357103K6 polyprotein gene, partial cds.	Hepacivirus C
89	FJ932082.1	Hepatitis C virus isolate 78357263K6 polyprotein gene, partial cds.	Hepacivirus C
90	FJ932083.1	Hepatitis C virus isolate 78387373K6 polyprotein gene, partial cds.	Hepacivirus C
91	FJ932084.1	Hepatitis C virus isolate 78387873K6 polyprotein gene, partial cds.	Hepacivirus C
92	FJ932085.1	Hepatitis C virus isolate 78387173K6 polyprotein gene, partial cds.	Hepacivirus C
93	FJ932086.1	Hepatitis C virus isolate 78387133K6 polyprotein gene, partial cds.	Hepacivirus C
94	FJ932087.1	Hepatitis C virus isolate 78387233K6 polyprotein gene, partial cds.	Hepacivirus C
95	FJ932088.1	Hepatitis C virus isolate 78387033K6 polyprotein gene, partial cds.	Hepacivirus C
96	FJ932089.1	Hepatitis C virus isolate 78387353K6 polyprotein gene, partial cds.	Hepacivirus C
97	FJ932090.1	Hepatitis C virus isolate 78387783K6 polyprotein gene, partial cds.	Hepacivirus C
98	FJ932091.1	Hepatitis C virus isolate 78387183K6 polyprotein gene, partial cds.	Hepacivirus C
99	FJ932092.1	Hepatitis C virus isolate 78387593K6 polyprotein gene, partial cds.	Hepacivirus C
100	DQ075354.1	Cotesia plutellae polydnavirus segment CpBV-S2, complete sequence.	Cotesia plutellae polydnavirus
101	DQ075355.1	Cotesia plutellae polydnavirus segment CpBV-S3, complete sequence.	Cotesia plutellae polydnavirus
102	DQ075357.1	Cotesia plutellae polydnavirus segment CpBV-S5, complete sequence.	Cotesia plutellae polydnavirus
103	DQ075359.1	Cotesia plutellae polydnavirus segment CpBV-S9, complete sequence.	Cotesia plutellae polydnavirus
104	DQ075360.1	Cotesia plutellae polydnavirus segment CpBV-S11, complete sequence.	Cotesia plutellae polydnavirus
105	DQ076108.1	Rabies virus isolate SKRBV9801YC glycoprotein (G) gene, partial cds; and nonfunctional L protein (L) gene, partial sequence.	Lyssavirus rabies
106	DQ133667.1	HIV-1 isolate WC38C-700-1 from USA pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1
107	DQ135904.1	HIV-1 isolate SI5 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
108	DQ135905.1	HIV-1 isolate SI6 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
109	DQ135906.1	HIV-1 isolate SI7 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
110	DQ135907.1	HIV-1 isolate SI10 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
111	DQ135908.1	HIV-1 isolate SI11 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
112	DQ135909.1	HIV-1 isolate SI12 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
113	DQ135910.1	HIV-1 isolate SI13 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
114	DQ135911.1	HIV-1 isolate SI24 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
115	DQ135912.1	HIV-1 isolate SI29 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
116	DQ135913.1	HIV-1 isolate SI34 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
117	DQ135914.1	HIV-1 isolate SI40 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
118	DQ135915.1	HIV-1 isolate SI42 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
119	DQ135916.1	HIV-1 isolate SI43 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
120	DQ135917.1	HIV-1 isolate SI44 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
121	DQ135918.1	HIV-1 isolate SI46 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
122	DQ135919.1	HIV-1 isolate SI146 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
123	DQ135920.1	HIV-1 isolate SI168 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
124	DQ135921.1	HIV-1 isolate SI176 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
125	DQ135922.1	HIV-1 isolate SI205 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
126	DQ135923.1	HIV-1 isolate SI218 from Slovenia envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1
127	DQ135924.1	HIV-1 isolate SI5 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
128	DQ135925.1	HIV-1 isolate SI6 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
129	DQ135927.1	HIV-1 isolate SI10 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
130	DQ135928.1	HIV-1 isolate SI11 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
131	DQ135929.1	HIV-1 isolate SI12 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
132	DQ135930.1	HIV-1 isolate SI13 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
133	DQ135931.1	HIV-1 isolate SI24 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
134	DQ135932.1	HIV-1 isolate SI29 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
135	DQ135933.1	HIV-1 isolate SI34 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
136	DQ135934.1	HIV-1 isolate SI40 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
137	DQ135935.1	HIV-1 isolate SI42 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
138	DQ135936.1	HIV-1 isolate SI43 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
139	DQ135937.1	HIV-1 isolate SI44 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
140	DQ135938.1	HIV-1 isolate SI46 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
141	DQ135939.1	HIV-1 isolate SI146 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
142	DQ135940.1	HIV-1 isolate SI168 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
143	DQ135941.1	HIV-1 isolate SI176 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
144	DQ135942.1	HIV-1 isolate SI205 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
145	DQ135943.1	HIV-1 isolate SI218 from Slovenia gag protein (gag) gene, partial cds.	Human immunodeficiency virus 1
146	DQ136001.2	Tomato yellow leaf curl Mali virus-associated DNA beta, complete genome.	Tomato yellow leaf curl Mali virus-associated DNA beta
147	DQ136146.1	Tomato chlorosis virus isolate AT80/99 segment RNA2, complete sequence.	Tomato chlorosis virus
148	DQ136192.1	Simian immunodeficiency virus SIVmac clone 247cerebrum1 nonfunctional envelope glycoprotein (env) gene, complete sequence.	Simian immunodeficiency virus - mac
149	MZ088577.1	Influenza A virus (A/swine/France/22-200290/2020(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds.	Influenza A virus
150	MZ088579.1	Influenza A virus (A/swine/France/22-200290/2020(H1N1)) segment 6 neuraminidase (NA) gene, complete cds.	Influenza A virus
151	MZ088598.1	Influenza A virus (A/swine/France/22-200413/2020(H1N2)) segment 1 polymerase PB2 (PB2) gene, complete cds.	Influenza A virus
152	MZ088599.1	Influenza A virus (A/swine/France/22-200413/2020(H1N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds.	Influenza A virus
153	MZ088614.1	Influenza A virus (A/swine/France/24-200492/2020(H1N2)) segment 1 polymerase PB2 (PB2) gene, complete cds.	Influenza A virus
154	MZ088615.1	Influenza A virus (A/swine/France/24-200492/2020(H1N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds.	Influenza A virus
155	MZ088616.1	Influenza A virus (A/swine/France/24-200492/2020(H1N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds.	Influenza A virus
156	MZ097261.1	Rotavirus A isolate RVA/Human-wt/KEN/KLF1065/2012/G2P[4] nonstructural protein 4 gene, partial cds.	Rotavirus A
157	MZ097269.1	Rotavirus A isolate RVA/Human-wt/KEN/KLF2230/2013/G3P[9] nonstructural protein 1 gene, complete cds.	Rotavirus A
158	MZ097272.1	Rotavirus A isolate RVA/Human-wt/KEN/KLF2230/2013/G3P[9] nonstructural protein 4 gene, complete cds.	Rotavirus A
159	MZ097274.1	Rotavirus A isolate RVA/Human-wt/KEN/KLF2230/2013/G3P[9] VP1 protein gene, complete cds.	Rotavirus A
160	MZ097275.1	Rotavirus A isolate RVA/Human-wt/KEN/KLF2230/2013/G3P[9] VP2 protein gene, complete cds.	Rotavirus A
161	MZ097277.1	Rotavirus A isolate RVA/Human-wt/KEN/KLF2230/2013/G3P[9] VP4 protein gene, partial cds.	Rotavirus A
162	MZ097282.1	Rotavirus A isolate RVA/Human-wt/KEN/KLF2467/2017/G1P[8] nonstructural protein 3 gene, complete cds.	Rotavirus A
163	MZ097384.1	Chicken astrovirus strain CAstV/Chicken/Shandong/N-2P/2019 capsid protein (ORF2) mRNA, complete cds.	Chicken astrovirus
164	MZ097385.1	Chicken astrovirus strain CAstV/Chicken/jiangsu/J1002/2020 capsid protein (ORF2) mRNA, complete cds.	Chicken astrovirus
165	MZ097386.1	Chicken astrovirus strain CAstV/Chicken/jiangsu/J1011/2020 capsid protein (ORF2) mRNA, complete cds.	Chicken astrovirus
166	MZ097387.1	Chicken astrovirus strain CAstV/Chicken/jiangsu/J1049/2020 capsid protein (ORF2) mRNA, complete cds.	Chicken astrovirus
167	MZ097388.1	Chicken astrovirus strain CAstV/Chicken/Henan/H1283/2020 capsid protein (ORF2) mRNA, complete cds.	Chicken astrovirus
168	MZ097390.1	Avian nephritis virus strain ANV/Chicken/jiangsu/J1013/2020 capsid protein (ORF2) mRNA, complete cds.	Avian nephritis virus
169	MZ097391.1	Avian nephritis virus strain ANV/Chicken/jiangsu/J1017/2020 capsid protein (ORF2) mRNA, complete cds.	Avian nephritis virus
170	MZ097392.1	Avian nephritis virus strain ANV/Chicken/jiangsu/J1018/2020 capsid protein (ORF2) mRNA, complete cds.	Avian nephritis virus
171	MZ097395.1	Duck astrovirus strain DAstV/Duck/Shandong/Y-5/2020 capsid protein (ORF2) mRNA, complete cds.	Duck astrovirus
172	MZ097396.1	Duck astrovirus strain DAstV/Duck/Guangdong/G1254/2020 capsid protein (ORF2) mRNA, complete cds.	Duck astrovirus
173	MZ097397.1	Avastrovirus 3 strain AAstV3/Duck/Guangdong/G1272/2020 capsid protein (ORF2) mRNA, complete cds.	Avastrovirus 3
174	MZ097624.1	Hepatitis B virus isolate BN_302, complete genome.	Hepatitis B virus
175	MZ097625.1	Hepatitis B virus isolate BN_548, complete genome.	Hepatitis B virus
176	MZ097626.1	Hepatitis B virus isolate BO16_052P1, complete genome.	Hepatitis B virus
177	MZ097627.1	Hepatitis B virus isolate BO17_058P1, complete genome.	Hepatitis B virus
178	MZ097628.1	Hepatitis B virus isolate DD13_10101, complete genome.	Hepatitis B virus
179	MZ097629.1	Hepatitis B virus isolate DD13_10103, complete genome.	Hepatitis B virus
180	MZ097630.1	Hepatitis B virus isolate DD13_12421, complete genome.	Hepatitis B virus
181	MZ097631.1	Hepatitis B virus isolate DD13_12826, complete genome.	Hepatitis B virus
182	MZ097632.1	Hepatitis B virus isolate DD13_13137, complete genome.	Hepatitis B virus
183	MZ097633.1	Hepatitis B virus isolate DD13_15239, complete genome.	Hepatitis B virus
184	MZ097634.1	Hepatitis B virus isolate DD13_16424, complete genome.	Hepatitis B virus
185	MZ097635.1	Hepatitis B virus isolate DD13_16719, complete genome.	Hepatitis B virus
186	DQ204167.1	HIV-1 isolate SUBJECT_312 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
187	DQ204168.1	HIV-1 isolate SUBJECT_313 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
188	DQ204169.1	HIV-1 isolate SUBJECT_314 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
189	DQ204170.1	HIV-1 isolate SUBJECT_315 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
190	DQ204171.1	HIV-1 isolate SUBJECT_316 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
191	DQ204172.1	HIV-1 isolate SUBJECT_317 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
192	DQ204173.1	HIV-1 isolate SUBJECT_318 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
193	DQ204174.1	HIV-1 isolate SUBJECT_319 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
194	DQ204175.1	HIV-1 isolate SUBJECT_320 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
195	DQ204176.1	HIV-1 isolate SUBJECT_321 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
196	DQ204178.1	HIV-1 isolate SUBJECT_323 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
197	DQ204179.1	HIV-1 isolate SUBJECT_324 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
198	DQ204180.1	HIV-1 isolate SUBJECT_325 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
199	DQ204181.1	HIV-1 isolate SUBJECT_326 from Canada vpr protein (vpr) gene, partial cds.	Human immunodeficiency virus 1
200	KX924640.1	Warivirus Mos10 replicase large subunit gene, partial cds.	Warivirus Mos10 Viruses.
201	KX925287.1	Hepatitis B virus isolate Khab250-9/2016 large S protein (S) gene, partial cds.	Hepatitis B virus
202	KX925288.1	Hepatitis B virus isolate Khab250-10/2016 large S protein (S) gene, partial cds.	Hepatitis B virus
203	KX925290.1	Hepatitis B virus isolate Khab3410-7/2016 large S protein (S) gene, partial cds.	Hepatitis B virus
204	KX925291.1	Hepatitis B virus isolate Khab3410-8/2016 large S protein (S) gene, partial cds.	Hepatitis B virus
205	KX925292.1	Hepatitis B virus isolate Khab3410-11/2016 large S protein (S) gene, partial cds.	Hepatitis B virus
206	KX925294.1	Hepatitis B virus isolate Khab1149/2016 large S protein (S) gene, partial cds.	Hepatitis B virus
207	KX925296.1	Hepatitis B virus isolate Khab1422/2016 large S protein (S) gene, partial cds.	Hepatitis B virus
208	KX925298.1	Hepatitis B virus isolate Khab1646/2016 large S protein (S) gene, partial cds.	Hepatitis B virus
209	KX925300.1	Hepatitis B virus isolate Khab2056/2016 large S protein (S) gene, partial cds.	Hepatitis B virus
210	KX925302.1	Hepatitis B virus isolate Khab2299/2016 large S protein (S) gene, partial cds.	Hepatitis B virus
211	KX925437.1	Lettuce secovirus 1 isolate LSV-1 segment RNA1 polyprotein gene, partial cds.	Lettuce secovirus 1
212	KX925438.1	Lettuce secovirus 1 isolate LSV-1 segment RNA2 polyprotein gene, complete cds.	Lettuce secovirus 1
213	KX926428.1	Watermelon mosaic virus isolate WMV-Pg, complete genome.	Watermelon mosaic virus
214	KX926464.1	Dengue virus type 3 isolate DENV-3/CO/SAN/02288/2002 polyprotein gene, partial cds.	Dengue virus type 3
215	KX926465.1	Dengue virus type 3 isolate DENV-3/CO/SAN/02132/2002 polyprotein gene, partial cds.	Dengue virus type 3
216	KX926466.1	Dengue virus type 3 isolate DENV-3/CO/SAN/02084/2002 polyprotein gene, partial cds.	Dengue virus type 3
217	KX926467.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV220/2003 polyprotein gene, partial cds.	Dengue virus type 3
218	KX926468.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV126/2003 polyprotein gene, partial cds.	Dengue virus type 3
219	KX926469.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV117/2003 polyprotein gene, partial cds.	Dengue virus type 3
220	KX926470.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV110/2003 polyprotein gene, partial cds.	Dengue virus type 3
221	KX926471.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV105/2003 polyprotein gene, partial cds.	Dengue virus type 3
222	KX926476.1	Dengue virus type 3 isolate DENV-3/CO/SAN/08069/2008 polyprotein gene, partial cds.	Dengue virus type 3
223	KX926477.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV192097/2009 polyprotein gene, partial cds.	Dengue virus type 3
224	KX926479.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV121020/2009 polyprotein gene, partial cds.	Dengue virus type 3
225	KX926480.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV151064/2010 polyprotein gene, partial cds.	Dengue virus type 3
226	KX926481.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV141095/2010 polyprotein gene, partial cds.	Dengue virus type 3
227	KX926484.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV132056/2010 polyprotein gene, partial cds.	Dengue virus type 3
228	KX926486.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV111159/2010 polyprotein gene, partial cds.	Dengue virus type 3
229	KX926489.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV111044/2010 polyprotein gene, partial cds.	Dengue virus type 3
230	KX926490.1	Dengue virus type 3 isolate DENV-3/CO/SAN/LV111036/2010 polyprotein gene, partial cds.	Dengue virus type 3
231	KX926580.1	HIV-1 isolate PID10-082009-1 from USA nonfunctional pol protein (pol) and nonfunctional gag protein (gag) genes, partial sequence.	Human immunodeficiency virus 1
232	KY034779.1	HIV-1 isolate 56 from USA pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1
233	KY034780.1	HIV-1 isolate 57 from USA pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1
234	KY034781.1	HIV-1 isolate 57_2 from USA pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1
235	KY034782.1	HIV-1 isolate 57_3 from USA pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1
236	KY034783.1	HIV-1 isolate 57_4 from USA pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1
237	KY034784.1	HIV-1 isolate 57_5 from USA pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1
238	KY034785.1	HIV-1 isolate 57_6 from USA pol protein (pol) gene, partial cds.	Human immunodeficiency virus 1
